8,307.0,130.0,      3504.0,12.0,   A, x,  chevrolet chevelle malibu,0.2393617021276596
4,86.0,65.0,      2110.0,17.9,   K, z,  mazda glc,1.0000000000000002
4,156.0,105.0,      2800.0,14.4,   K, x,  dodge colt,0.5026595744680851
4,85.0,65.0,      2110.0,19.2,   K, z,  datsun 210,0.8457446808510637
4,90.0,48.0,      2085.0,21.7,   K, y,  vw rabbit c (diesel),0.9388297872340424
4,90.0,48.0,      2335.0,23.7,   K, y,  vw dasher (diesel),0.9148936170212766
5,121.0,67.0,      2950.0,19.9,   K, y,  audi 5000s (diesel),0.7287234042553191
4,146.0,67.0,      3250.0,21.8,   K, y,  mercedes-benz 240d,0.5585106382978723
4,91.0,67.0,      1850.0,13.8,   K, z,  honda civic 1500 gl,0.9468085106382979
4,97.0,67.0,      2145.0,18.0,   K, z,  subaru dl,0.6595744680851062
4,89.0,62.0,      1845.0,15.3,   K, y,  vokswagen rabbit,0.5531914893617021
6,168.0,132.0,      2910.0,11.4,   K, z,  datsun 280-zx,0.6303191489361702
3,70.0,100.0,      2420.0,12.5,   K, z,  mazda rx-7 gs,0.39095744680851063
4,122.0,88.0,      2500.0,15.1,   K, y,  triumph tr7 coupe,0.6914893617021276
4,107.0,72.0,      2290.0,17.0,   K, z,  honda accord,0.6223404255319148
4,135.0,84.0,      2490.0,15.7,   L, x,  plymouth reliant,0.48404255319148926
4,151.0,84.0,      2635.0,16.4,   L, x,  buick skylark,0.46808510638297873
4,156.0,92.0,      2620.0,14.4,   L, x,  dodge aries wagon (sw),0.44680851063829785
6,173.0,110.0,      2725.0,12.6,   L, x,  chevrolet citation,0.3856382978723404
4,135.0,84.0,      2385.0,12.9,   L, x,  plymouth reliant,0.5585106382978723
4,79.0,58.0,      1755.0,16.9,   L, z,  toyota starlet,0.8005319148936171
4,86.0,64.0,      1875.0,16.4,   L, x,  plymouth champ,0.7978723404255318
4,81.0,60.0,      1760.0,16.1,   L, z,  honda civic 1300,0.6941489361702128
4,97.0,67.0,      2065.0,17.8,   L, z,  subaru,0.6196808510638296
4,85.0,65.0,      1975.0,19.4,   L, z,  datsun 210 mpg,0.7446808510638298
4,89.0,62.0,      2050.0,17.3,   L, z,  toyota tercel,0.7632978723404257
4,91.0,68.0,      1985.0,16.0,   L, z,  mazda glc 4,0.6675531914893617
4,105.0,63.0,      2215.0,14.9,   L, x,  plymouth horizon 4,0.6835106382978724
4,98.0,65.0,      2045.0,16.2,   L, x,  ford escort 4w,0.675531914893617
4,98.0,65.0,      2380.0,20.7,   L, x,  ford escort 2h,0.5558510638297872
4,105.0,74.0,      2190.0,14.2,   L, y,  volkswagen jetta,0.6382978723404255
4,107.0,75.0,      2210.0,14.4,   L, z,  honda prelude,0.6569148936170213
4,108.0,75.0,      2350.0,16.8,   L, z,  toyota corolla,0.6223404255319148
4,119.0,100.0,      2615.0,14.8,   L, z,  datsun 200sx,0.6356382978723404
4,120.0,74.0,      2635.0,18.3,   L, z,  mazda 626,0.601063829787234
4,141.0,80.0,      3230.0,20.4,   L, y,  peugeot 505s turbo diesel,0.5079787234042553
6,145.0,76.0,      3160.0,19.6,   L, y,  volvo diesel,0.577127659574468
6,168.0,116.0,      2900.0,12.6,   L, z,  toyota cressida,0.43617021276595735
6,146.0,120.0,      2930.0,13.8,   L, z,  datsun 810 maxima,0.4042553191489361
6,231.0,110.0,      3415.0,15.8,   L, x,  buick century,0.3563829787234042
8,350.0,105.0,      3725.0,19.0,   L, x,  oldsmobile cutlass ls,0.46808510638297873
6,200.0,88.0,      3060.0,17.1,   L, x,  ford granada gl,0.2978723404255319
6,225.0,85.0,      3465.0,16.6,   L, x,  chrysler lebaron salon,0.2287234042553192
4,112.0,88.0,      2605.0,19.6,   M, x,  chevrolet cavalier,0.5053191489361701
4,112.0,88.0,      2640.0,18.6,   M, x,  chevrolet cavalier wagon,0.4787234042553191
4,112.0,88.0,      2395.0,18.0,   M, x,  chevrolet cavalier 2-door,0.6648936170212766
4,112.0,85.0,      2575.0,16.2,   M, x,  pontiac j2000 se hatchback,0.5851063829787234
4,135.0,84.0,      2525.0,16.0,   M, x,  dodge aries se,0.5319148936170213
4,151.0,90.0,      2735.0,18.0,   M, x,  pontiac phoenix,0.4787234042553191
4,140.0,92.0,      2865.0,16.4,   M, x,  ford fairmont futura,0.39893617021276595
4,105.0,74.0,      1980.0,15.3,   M, y,  volkswagen rabbit l,0.7180851063829787
4,91.0,68.0,      2025.0,18.2,   M, z,  mazda glc custom l,0.7446808510638298
4,91.0,68.0,      1970.0,17.6,   M, z,  mazda glc custom,0.5851063829787234
4,105.0,63.0,      2125.0,14.7,   M, x,  plymouth horizon miser,0.7712765957446809
4,98.0,70.0,      2125.0,17.3,   M, x,  mercury lynx l,0.7180851063829787
4,120.0,88.0,      2160.0,14.5,   M, z,  nissan stanza xe,0.7180851063829787
4,107.0,75.0,      2205.0,14.5,   M, z,  honda accord,0.7180851063829787
4,108.0,70.0,      2245.0,16.9,   M, z,  toyota corolla,0.6648936170212766
4,91.0,67.0,      1965.0,15.0,   M, z,  honda civic,0.7712765957446809
4,91.0,67.0,      1965.0,15.7,   M, z,  honda civic (auto),0.6117021276595744
4,91.0,67.0,      1995.0,16.2,   M, z,  datsun 310 gx,0.7712765957446809
6,181.0,110.0,      2945.0,16.4,   M, x,  buick century limited,0.42553191489361697
6,262.0,85.0,      3015.0,17.0,   M, x,  oldsmobile cutlass ciera (diesel),0.7712765957446809
4,156.0,92.0,      2585.0,14.5,   M, x,  chrysler lebaron medallion,0.4521276595744681
6,232.0,112.0,      2835.0,14.7,   M, x,  ford granada l,0.3457446808510638
4,144.0,96.0,      2665.0,13.9,   M, z,  toyota celica gt,0.6117021276595744
4,135.0,84.0,      2370.0,13.0,   M, x,  dodge charger 2.2,0.7180851063829787
4,151.0,90.0,      2950.0,17.3,   M, x,  chevrolet camaro,0.4787234042553191
4,140.0,86.0,      2790.0,15.6,   M, x,  ford mustang gl,0.4787234042553191
4,97.0,52.0,      2130.0,24.6,   M, y,  vw pickup,0.9308510638297872
4,135.0,84.0,      2295.0,11.6,   M, x,  dodge rampage,0.6117021276595744
4,120.0,79.0,      2625.0,18.6,   M, x,  ford ranger,0.5053191489361701
4,119.0,82.0,      2720.0,19.4,   M, x,  chevy s-10,0.5851063829787234
